,Title of the damage site in English,Include or not (Yes/No),Comment by volunteers,Name of damanged site in Ukrainian on Google Maps,Alternative English name on Google Maps,Also included in the Wikipedia page?,Note on Wikipedia,Type of damanged site,Region,Address ,Geo location,Link to google Maps,Wikipedia - English,Wikipedia - Ukrainian,DBpedia,"Reference to news articles, reports, etc.",Reports by Media,Year of construction,Date of damage,Fundraising amount:,For what:,Website,
1,"Research and technology complex ""Institute of Single Crystals"" of the National Academy of Sciences of Ukraine",Yes,,Науково-технологічний комплекс «Інститут монокристалів» Національної академії наук України,"Scientific and technological complex ""Institute of Single Crystals"" of the National Academy of Sciences of Ukraine",yes,,education,Kharkiv region,"Nauky Avenue, 60, Kharkiv, Kharkiv Region, Ukraine, 61000","50.032554,36.221972","https://www.google.com/maps/place/%D0%9D%D0%B0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9+%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81+%C2%AB%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82+%D0%BC%D0%BE%D0%BD%D0%BE%D0%BA%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D1%96%D0%B2%C2%BB+%D0%9D%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97+%D0%B0%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D1%96%D1%97+%D0%BD%D0%B0%D1%83%D0%BA+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8/@50.032554,36.221972,17z/data=!3m1!4b1!4m6!3m5!1s0x4127a14ab174b3bf:0x263b8dc97f2c45c1!8m2!3d50.032554!4d36.221972!16s%2Fg%2F11b6_gc5qs?entry=ttu",,https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81_%C2%AB%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BC%D0%BE%D0%BD%D0%BE%D0%BA%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BB%D1%96%D0%B2%C2%BB_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,https://scienceatrisk.org/infrastructure/naukovo-tekhnolohichnyi-kompleks-instytut-monokrystaliv-nan-ukrainy,1955,2022,~ 100000 UAH,Restoration of the damaged infrastructure,https://www.isc.kh.ua/,
2,Radio Astronomy Institute of the National Academy of Sciences of Ukraine (RAINASU),Yes,,Радіоастрономічний інститут НАН України (РАІНАСУ),,yes,,education,Kharkiv region,"Mystetstv street, 4, Kharkiv, Kharkiv region, Ukraine, 61000","50.0002266,36.244112","https://www.google.com/maps/place/%D0%A0%D0%90%D0%94%D0%86%D0%9E%D0%90%D0%A1%D0%A2%D0%A0%D0%9E%D0%9D%D0%9E%D0%9C%D0%86%D0%A7%D0%9D%D0%98%D0%99+%D0%86%D0%9D%D0%A1%D0%A2%D0%98%D0%A2%D0%A3%D0%A2+%D0%9D%D0%90%D0%A6%D0%86%D0%9E%D0%9D%D0%90%D0%9B%D0%AC%D0%9D%D0%9E%D0%87+%D0%90%D0%9A%D0%90%D0%94%D0%95%D0%9C%D0%86%D0%87+%D0%9D%D0%90%D0%A3%D0%9A+%D0%A3%D0%9A%D0%A0%D0%90%D0%87%D0%9D%D0%98/@50.0002266,36.244112,17z/data=!3m1!4b1!4m6!3m5!1s0x4127a0e83ec824fd:0x723b7e92dc563ebe!8m2!3d50.0002266!4d36.244112!16s%2Fg%2F120qqmfy?entry=ttu",,https://uk.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B4%D1%96%D0%BE%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%BE%D0%BC%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D1%96%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1985,2022,~ 50000000 UAH,"More than 10 observatory buildings and up to 10 vehicles in Kharkiv must be restored. The cost of damaged windows and heating, electricity, and water supply system elements has been estimated",https://www.nas.gov.ua/UA/Org/Pages/default.aspx?OrgID=0000544,
3,Institute of Agricultural Microbiology and Agro-Industrial Production of the National Academy of Agrarian Sciences of Ukraine,Yes,,Інститут сільськогосподарської мікробіології та агропромислового виробництва Національної академії аграрних наук України,,yes,Research institution within the National Academy of Sciences of Ukraine.,education,Chernihiv region ,"97 Shevchenka Street, Chernihiv, Chernihiv region, Ukraine, 14000","51.5028725,31.3358054","https://www.google.com/maps/place/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82+%D1%81%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D1%8C%D0%BA%D0%BE%D1%97+%D0%BC%D1%96%D0%BA%D1%80%D0%BE%D0%B1%D1%96%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%97+%D1%82%D0%B0+%D0%B0%D0%B3%D1%80%D0%BE%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE+%D0%B2%D0%B8%D1%80%D0%BE%D0%B1%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%B0+%D0%9D%D0%90%D0%90%D0%9D+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8/@51.5028725,31.3358054,17z/data=!3m1!4b1!4m6!3m5!1s0x46d54853d136f187:0x345ce452f6d806e!8m2!3d51.5028725!4d31.3358054!16s%2Fg%2F11hbkpj63w?entry=ttu",,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%81%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%BC%D1%96%D0%BA%D1%80%D0%BE%D0%B1%D1%96%D0%BE%D0%BB%D0%BE%D0%B3%D1%96%D1%97_%D1%82%D0%B0_%D0%B0%D0%B3%D1%80%D0%BE%D0%BF%D1%80%D0%BE%D0%BC%D0%B8%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D0%B2%D0%B8%D1%80%D0%BE%D0%B1%D0%BD%D0%B8%D1%86%D1%82%D0%B2%D0%B0_%D0%9D%D0%90%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1961,2022,~ 16437 UAH,"To restore the destroyed laboratories, provide scientists with the necessary equipment, purchase agricultural and office equipment, and develop the potential of scientists.",https://ismav.com.ua/,
4,M.M. Hryshko National Botanical Garden,Yes,,М.М. Національний ботанічний сад імені Гришка,,yes,,other,Kyiv region,"1, Sadovo-Botanichna Street, Kyiv, Ukraine, 01014","50.4149015,30.5627975","https://www.google.com/maps/place/%D0%9D%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9+%D0%B1%D0%BE%D1%82%D0%B0%D0%BD%D1%96%D1%87%D0%BD%D0%B8%D0%B9+%D1%81%D0%B0%D0%B4+%D1%96%D0%BC%D0%B5%D0%BD%D1%96+%D0%9C.+%D0%9C.+%D0%93%D1%80%D0%B8%D1%88%D0%BA%D0%B0+%D0%9D%D0%90%D0%9D+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8/@50.4149015,30.5627975,17z/data=!3m1!4b1!4m6!3m5!1s0x40d4ce5102781b5b:0xad4bcafbe796ac37!8m2!3d50.4149015!4d30.5627975!16s%2Fm%2F0gmcncf?entry=ttu",,https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D0%B1%D0%BE%D1%82%D0%B0%D0%BD%D1%96%D1%87%D0%BD%D0%B8%D0%B9_%D1%81%D0%B0%D0%B4_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%9C._%D0%9C._%D0%93%D1%80%D0%B8%D1%88%D0%BA%D0%B0_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,dbr:Hryshko_National_Botanical_Garden ,,,,not found,~ 14545 UAH,"Payment for heating, electricity and water",http://www.nbg.kiev.ua/,
5,Sumy National Agrarian University,Yes,,Сумський національний аграрний університет,,yes,,education,Sumy Region,"160 Gerasima Kondratieva street, Sumy, Sumy region, Ukraine, 40000","50.8816948,34.7778118",https://www.google.com/maps/place//data=!4m2!3m1!1s0x412901c87e8fd3fb:0xb535c55b6be731d8?sa=X&ved=1t:8290&ictx=111,,https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D0%BC%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%BD%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D0%B0%D0%B3%D1%80%D0%B0%D1%80%D0%BD%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82,dbr:Sumy_National_Agrarian_University ,,,1977,not found,~ 1500000 UAH,Restoration of the damaged infrastructure,https://snau.edu.ua/,
6,"Institute of Bio-Stem Cell Rehabilitation, Ukrainian Association of Biobank",No,the location changed multiple times. ,Інститут біореабілітації стовбурових клітин Української асоціації Біобанк,Institute of biorehabilitation of stem cells of the Ukrainian Biobank Association,No,,education,Kharkiv region,"Pushkinskaya street, 44, Kharkiv, Ukraine","49.998270343672644, 36.24045526829494","https://www.google.com/maps/place/49%C2%B059'53.8%22N+36%C2%B014'25.6%22E/@49.9982703,36.2394768,18z/data=!3m1!4b1!4m4!3m3!8m2!3d49.9982703!4d36.2404553?hl=ru&entry=ttu",not found,not found,not found,,https://kunsht.com.ua/articles/muzey-zakhvoriuvan,2008,not found,~ 5147338 UAH,Restoration of the damaged infrastructure,http://treatment-stemcell.com/index.html,
7,Karazin University,Yes,,Харківський національний університет імені В. Н. Каразіна,V. N. Karazin Kharkiv National University,yes,,education,Kharkiv region,"Maydan Svobody, 4, Kharkiv, Kharkiv region, Ukraine, 61000","50.0042158,36.2279125","https://www.google.com/maps/place/%D0%A5%D0%B0%D1%80%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9+%D0%BD%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9+%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82+%D1%96%D0%BC%D0%B5%D0%BD%D1%96+%D0%92.+%D0%9D.+%D0%9A%D0%B0%D1%80%D0%B0%D0%B7%D1%96%D0%BD%D0%B0/@50.0042158,36.2279125,17z/data=!3m1!4b1!4m6!3m5!1s0x4127a0e1caacda97:0x2c717d8cad400691!8m2!3d50.0042158!4d36.2279125!16s%2Fg%2F11c5s8nn23?hl=uk&entry=ttu",,https://uk.wikipedia.org/wiki/%D0%A5%D0%B0%D1%80%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%BD%D0%B0%D1%86%D1%96%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9_%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%92._%D0%9D._%D0%9A%D0%B0%D1%80%D0%B0%D0%B7%D1%96%D0%BD%D0%B0,not found,,https://meduza.io/feature/2023/02/06/rossiya-udarila-po-tsentru-harkova-odna-raketa-snesla-verhnie-etazhi-universiteta-vtoraya-popala-v-sosedniy-zhiloy-dom ,1805,2022-03-02,~ 4500000000 UAH,Restoration of the damaged infrastructure,,
8,State Archives of Kherson Oblast ,Yes,,Державний архів Херсонської області,State Archives of Kherson region,No,,archive,Kherson region,"Yaroslava Mudroho St, 3, Kherson, Kherson Oblast, 73000","46.68188853802475, 32.93401513470234",https://maps.app.goo.gl/yi8CSWJzGpnnFDrv7, not found,https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%B8%D0%B9_%D0%B0%D1%80%D1%85%D1%96%D0%B2_%D0%A5%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96, not found,,,1921,2022,,"Scanning equipment (document scanners, book scanners, planetary scanners) is required to ensure the operation of the archive. Unique restoration tables with lighting are needed for document restoration. Industrial dehumidifiers are necessary to maintain a stable microclimate. There is also a need for shelving equipment and cardboard (archival boxes).",https://kherson.archives.gov.ua/?fbclid=IwAR2saIwCFyf4797Tf-rTlTrwKSNm5Scn0jrtmscnLSJ6iPKnD8qJMYOPK2I, 
9,Institute of Mathematics NAS of Ukraine,Yes,,Інститут математики НАН України,Institute of Mathematics of NAS of Ukraine,No,,education,Kyiv region,"Vulytsya Tereshchenkivsʹka, 3, Kyiv, 02000","50.445228535661265, 30.51675569574979",https://maps.app.goo.gl/Y7YhrmW731jGnPXCA,not found,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B8_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,dbr:NASU_Institute_of_Mathematics ,,,1934,2022-10-10,~ 40000000 UAH,"To pay for the examination of the building's condition and through cracks in the facade and complete replacement of windows in the building so as not to spoil the historical architecture. As well as to carry out appropriate construction repairs to strengthen the walls, overhaul the facade after strengthening the walls, investigate the cause of the loss of the building's waterproofing and carry out major waterproofing works.",https://www.imath.kiev.ua/news/index.php?news_id=270&lang=ua,
10,O.Ya. Usikov Institute for Radiophysics and Electronics of the National Academy of Sciences of Ukraine,Yes,,Інститут радіофізики та електроніки імені О. Я. Усикова НАН України,O.Ya. Usikov Institute for Radiophysics and Electronics National Academy of Sciences of Ukraine,No,,education,Kharkiv region,"Akademika Proskury St, 12, Kharkiv, Kharkiv Oblast, 61085","50.04614806583216, 36.2930594861435",https://maps.app.goo.gl/NR27Px7G2e7XJTm37,not found,https://uk.wikipedia.org/wiki/%D0%86%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82_%D1%80%D0%B0%D0%B4%D1%96%D0%BE%D1%84%D1%96%D0%B7%D0%B8%D0%BA%D0%B8_%D1%82%D0%B0_%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D1%96%D0%BA%D0%B8_%D1%96%D0%BC%D0%B5%D0%BD%D1%96_%D0%9E._%D0%AF._%D0%A3%D1%81%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0_%D0%9D%D0%90%D0%9D_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8,not found,,,1955,2022,~ 115620000 UAH,"Funds are needed to restore windows, radiators, repair roofs, and rebuild the burnt-out laboratory building. In addition to money, we need instruments and equipment for research (generators, oscilloscopes, spectrum analyzers, vector circuit analyzers, etc.).",http://www.ire.kharkov.ua/en/letter-support-2022.html,
